round,cum_reward_lincb,cum_reward_random,cum_reward_oracle
207,-26.870717679061674,-28.35945552436632,2.308430802220981
208,-26.87777810249017,-28.265039535792194,2.6926429949321697
209,-26.875358846575878,-28.299416708359175,2.700530429377988
210,-26.899131742759476,-28.28986982082051,2.65623083918587
211,-26.795940685302668,-28.18446305211031,2.9742728597564074
212,-26.37700013664143,-28.224002749346706,3.3775570638051136
213,-26.373807321574724,-28.2175446812236,3.407985345629927
214,-26.400809343303017,-27.828384885942096,3.8175509046085856
215,-26.40595155145982,-27.82929603184531,3.8661277524928637
216,-26.280062126009813,-27.723193804560946,4.283854419489711
217,-26.24916069046063,-27.595952316597405,4.48571565127718
218,-25.90978404479189,-27.14900127261383,4.86979056442363
219,-25.409427466184543,-27.07816133396137,5.371037633082372
220,-25.360223107770125,-26.534897947291565,5.862284158895052
221,-25.319101282938124,-26.464505769019148,5.844830180863241
222,-25.047573650002512,-26.367946468505167,6.08821409657386
223,-25.12596648739143,-26.140438485923543,6.327063457468771
224,-25.140714715241717,-26.138354034066946,6.315872073572319
225,-24.690966226740034,-25.666389882773608,6.8682356676875695
226,-24.294049629340883,-25.578593708853813,7.262504143176139
227,-24.24478813539242,-25.55654352779322,7.728411699421338
228,-24.2155926793898,-25.18717781219327,8.130015925906381
229,-24.26574909011291,-25.0138287351712,8.487582941713908
230,-24.278782843956247,-25.062258290528746,8.930593131025534
231,-23.97569408669082,-25.028914724754124,9.293443735327326
232,-23.84176009118637,-25.023902847436002,9.4151638565658
233,-23.573734357416345,-24.822413045260937,9.702587812197372
234,-23.6185098275236,-24.75254231010792,9.699259175285443
235,-47.62459067603659,-48.89631897949564,-13.9513694425271
236,-47.20724393402761,-48.846555813751614,-13.530797841401146
237,-46.79614158583653,-48.67484876305607,-13.171452959428745
238,-46.69991674006068,-48.53239148379251,-12.84020313468251
239,-46.72819338210828,-48.510353279790664,-12.862131886373133
240,-46.75749623720181,-48.51961766273455,-12.868194349931233
241,-46.6723240224023,-48.55176757390859,-12.77587928400921
242,-46.382614171381256,-48.399200261534986,-12.495155847488137
243,-46.45439511279193,-48.49485558279394,-12.466278122100302
244,-46.37286417052439,-48.549783435824665,-12.501414481909757
245,-46.07029429623187,-48.440291625463715,-12.034315741762663
246,-46.02148715398306,-47.83892620508689,-11.473903360479865
247,-23.260432044034587,-24.828994577095415,11.831864814871471
248,-22.778825106672787,-24.405812986218468,12.230930329692953
249,-22.65726459515317,-24.364209336937865,12.281369026625518
250,-22.702459977226408,-24.29850886320567,12.221070423567769
251,-22.420544698115066,-24.309735236177413,12.663030183988461
252,-46.412270928672996,-48.3720994000126,-11.10123203309709
253,-46.00889937831735,-48.29051416585911,-10.694766751240271
254,-45.88561268054636,-48.32970252777339,-10.760899827489588
255,-45.81652510199182,-48.26859556668194,-10.286421191964463
256,-45.502806972345766,-48.13588029419402,-9.763077300773151
257,-45.484430811583564,-48.065776686833125,-9.781890823441936
258,-45.46123219743739,-48.01971175157263,-9.795975979222797
259,-45.09977753812888,-47.9845117479672,-9.42459507245467
260,-45.05072410544515,-48.00578868551342,-9.451355472687265
261,-45.04819731466545,-47.9972638237614,-9.487035966655043
262,-44.79654702792802,-48.048434789278936,-9.351760185848484
263,-44.829067679663524,-48.02195013263366,-9.391308560481546
264,-44.294606711230145,-47.98772666891826,-8.872619481222953
265,-44.10068023336962,-47.765950169963475,-8.44106589481394
266,-44.123628077660854,-47.763386388388646,-8.452172344045144
267,-44.03725916384374,-47.575563739284775,-7.9715039957545955
268,-43.99222379934582,-47.637046961017525,-7.934521020290683
269,-43.49370143965149,-47.54228135146311,-7.390210956871858
270,-43.41963341877965,-47.60599978878208,-7.238717480424054
271,-43.29192429725736,-47.379877557366534,-6.908367500025152
272,-42.98667685306628,-47.253172561758284,-6.6077142872025
273,-42.868207001076954,-46.90680254356983,-6.165865360574295
274,-42.90702901012993,-46.619398258952934,-5.81055388946172
275,-42.3962627847699,-46.54411503148205,-5.391678219384325
276,-42.16243969161987,-46.16958522872196,-5.039224439765997
277,-42.277463429986,-46.19183251672819,-5.054150612572981
278,-42.17015571591616,-46.134276023061105,-5.054191730849
279,-41.75728907188115,-46.12911059223327,-4.626087818780735
280,-41.73185565940179,-46.204581687903605,-4.63944560997553
281,-41.7302554519485,-46.242252581420914,-4.6692339921251245
282,-41.33878107648855,-46.11981973826891,-4.212581133883299
283,-41.06670709478481,-45.711837448344895,-3.867720265289843
284,-41.1546386364453,-45.371735422231964,-3.4949567978541287
285,-41.015142546295046,-45.256715950818375,-3.1068296868120058
286,-40.97055820474841,-45.08938769088692,-2.751272684526571
287,-40.60746887101655,-44.932487296805405,-2.2832265047716547
288,-40.51744973671004,-44.920934018857736,-2.278641611319945
289,-40.47346626863535,-45.008543016256496,-1.8209105022402374
290,-40.389182468623325,-45.006104064953604,-1.4360572519150108
291,-40.33242030519848,-44.938216879518436,-0.9040569943347573
292,-39.898498965625855,-44.52582299949779,-0.3072173070852017
293,-39.85339799966236,-44.10198406393241,0.0500534697860846
294,-39.40923708343742,-43.732383929142564,0.46445003348575026
295,-38.85171904166313,-43.573384956037664,0.9601236528764314
296,-38.785440145123594,-43.40310921800406,1.401425907608696
297,-15.921130180083395,-20.655112873203233,24.728352511006847
298,-15.913491124051168,-20.333216025382775,25.02533759919238
299,-15.883658932374482,-20.294739451930226,25.09016529431105
300,-15.54659953042876,-20.137560609732535,25.477559609029814
301,-15.05544803739758,-19.796463974849452,26.07639022088911
302,-14.527499805096825,-19.757268675147838,26.417768727147365
303,-14.49132518164988,-19.752176999419092,26.453389176174856
304,-14.537404657517413,-19.665812346608732,26.985166195901133
